Wavelength,LL,LL Parity,LL J,UL,UL Parity,UL J,log gf,gA,CF
6220.926,48900,(e),3.5,64971,(o),3.5,-3.98,1.84E+04,0
6223.645,47664,(o),4.5,63727,(e),4.5,-0.43,6.28E+07,0.307
6223.804,52881,(o),4.5,68944,(e),4.5,-3.16,1.21E+05,-0.003
6229.369,55221,(o),1.5,71270,(e),2.5,-1.37,7.50E+06,0.045
6230.266,42915,(o),5.5,58961,(e),5.5,-3.37,7.54E+04,0.001
6232.025,48557,(o),3.5,64598,(e),3.5,-3.1,1.36E+05,-0.002
6233.362,45013,(o),2.5,61051,(e),3.5,-0.84,2.44E+07,-0.223
6234.847,49917,(o),4.5,65951,(e),4.5,-0.71,3.37E+07,0.157
6236.142,48025,(o),1.5,64056,(e),2.5,-0.99,1.77E+07,0.283
6239.68,52922,(o),3.5,68944,(e),4.5,-2.03,1.60E+06,0.051
6242.263,59625,(o),3.5,75640,(e),3.5,-0.76,3.00E+07,0.229
